movieId,title,genres,rating_count,popularity_percent_rank,avg_rating,quality_percent_rank,balanced_score,quality_focused_score,popularity_focused_score,balanced_position,quality_focused_position,popularity_focused_position,rank_spread
1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,1638,0.9852,4.1795,0.9834,0.9843,0.9839,0.9847,15,14,13,2
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,1634,0.9849,4.1781,0.9831,0.984,0.9836,0.9844,16,15,14,2
912,Casablanca (1942),Drama|Romance,1217,0.9692,4.2675,0.9972,0.9832,0.9888,0.9776,17,9,25,16
4226,Memento (2000),Mystery|Thriller,1516,0.9805,4.1837,0.9843,0.9824,0.9832,0.9817,18,18,18,0
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,1195,0.967,4.2268,0.9931,0.9801,0.9853,0.9749,19,12,29,17
541,Blade Runner (1982),Action|Sci-Fi|Thriller,1527,0.9809,4.1582,0.9793,0.9801,0.9798,0.9804,19,22,21,3
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,1891,0.9893,4.1341,0.9708,0.9801,0.9764,0.9838,19,24,15,9
1213,Goodfellas (1990),Crime|Drama,1297,0.973,4.1874,0.9856,0.9793,0.9818,0.9768,20,20,27,7
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance,1190,0.9658,4.2168,0.9912,0.9785,0.9836,0.9734,21,16,31,15
7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,1541,0.9812,4.1311,0.9689,0.975,0.9726,0.9775,22,27,26,5
5952,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy,1699,0.9865,4.1045,0.962,0.9743,0.9694,0.9792,23,29,23,6
608,Fargo (1996),Comedy|Crime|Drama|Thriller,2177,0.9931,4.0808,0.9539,0.9735,0.9656,0.9813,24,35,20,15
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,2128,0.9925,4.0761,0.951,0.9718,0.9635,0.98,25,38,22,16
58559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,983,0.9473,4.2482,0.9956,0.9714,0.9811,0.9618,26,21,43,22
2329,American History X (1998),Crime|Drama,1158,0.962,4.1658,0.9809,0.9714,0.9752,0.9677,26,25,34,9
356,Forrest Gump (1994),Comedy|Drama|Romance|War,3314,0.9997,4.0567,0.941,0.9703,0.9586,0.9821,27,45,17,28
2028,Saving Private Ryan (1998),Action|Drama|War,1882,0.989,4.0656,0.947,0.968,0.9596,0.9764,28,42,28,14
904,Rear Window (1954),Mystery|Thriller,885,0.9397,4.2458,0.9953,0.9675,0.9786,0.9564,29,23,46,23
111,Taxi Driver (1976),Crime|Drama|Thriller,1190,0.9658,4.1218,0.9661,0.9659,0.966,0.9659,30,34,36,6
110,Braveheart (1995),Action|Drama|War,2667,0.9981,4.0409,0.9338,0.9659,0.9531,0.9788,30,52,24,28
2762,"Sixth Sense, The (1999)",Drama|Horror|Mystery,1941,0.9906,4.0479,0.9369,0.9637,0.953,0.9745,31,53,30,23
1617,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,1332,0.9736,4.0796,0.9526,0.9631,0.9589,0.9673,32,43,35,11
2324,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War,927,0.9432,4.1753,0.9824,0.9628,0.9707,0.955,33,28,47,19
7361,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi,1134,0.9617,4.1107,0.963,0.9623,0.9626,0.9621,34,40,41,7
908,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller,786,0.9259,4.2532,0.9959,0.9609,0.9749,0.9469,35,26,62,36
1208,Apocalypse Now (1979),Action|Drama|War,1165,0.963,4.0944,0.9586,0.9608,0.9599,0.9616,36,41,45,9
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,1294,0.9727,4.0676,0.9476,0.9601,0.9551,0.9652,37,51,37,14
1089,Reservoir Dogs (1992),Crime|Mystery|Thriller,1334,0.9739,4.0562,0.9404,0.9572,0.9504,0.9639,38,56,39,18
923,Citizen Kane (1941),Drama|Mystery,878,0.9391,4.1429,0.9736,0.9564,0.9633,0.9495,39,39,56,17
1219,Psycho (1960),Crime|Horror,987,0.9476,4.113,0.9636,0.9556,0.9588,0.9524,40,44,51,11
1252,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller,772,0.924,4.1846,0.9849,0.9545,0.9667,0.9423,41,33,66,33
1234,"Sting, The (1973)",Comedy|Crime,759,0.9212,4.195,0.9868,0.954,0.9671,0.9409,42,32,67,35
1207,To Kill a Mockingbird (1962),Drama,726,0.9162,4.2176,0.9915,0.9539,0.9689,0.9388,43,30,69,39
1291,Indiana Jones and the Last Crusade (1989),Action|Adventure,1598,0.9824,4.0188,0.9247,0.9535,0.942,0.9651,44,67,38,29
1704,Good Will Hunting (1997),Drama|Romance,1407,0.9771,4.0217,0.9259,0.9515,0.9413,0.9617,45,69,44,25
457,"Fugitive, The (1993)",Thriller,2443,0.9969,3.9855,0.9062,0.9515,0.9334,0.9696,45,78,32,46
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,2354,0.9953,3.9851,0.9052,0.9503,0.9322,0.9683,46,81,33,48
5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy,671,0.9043,4.2332,0.9947,0.9495,0.9675,0.9314,47,31,84,53
1214,Alien (1979),Horror|Sci-Fi,1554,0.9815,4.0042,0.9162,0.9488,0.9358,0.9619,48,73,42,31
1222,Full Metal Jacket (1987),Drama|War,1106,0.9589,4.0506,0.9375,0.9482,0.9439,0.9525,49,62,50,13
1247,"Graduate, The (1967)",Comedy|Drama|Romance,868,0.9379,4.0853,0.9554,0.9466,0.9502,0.9431,50,57,64,14
1203,12 Angry Men (1957),Drama,651,0.8983,4.232,0.9944,0.9463,0.9655,0.9271,51,36,91,55
1148,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime,769,0.9228,4.1326,0.9699,0.9463,0.9557,0.9369,51,48,75,27
1225,Amadeus (1984),Drama,998,0.9488,4.0586,0.9426,0.9457,0.9444,0.947,52,61,61,9
1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western,721,0.9153,4.1456,0.9749,0.9451,0.957,0.9331,53,46,80,34
778,Trainspotting (1996),Comedy|Crime|Drama,1166,0.9633,4.0172,0.9231,0.9432,0.9352,0.9512,54,75,53,22
1230,Annie Hall (1977),Comedy|Romance,801,0.9278,4.0918,0.9583,0.943,0.9491,0.9369,55,59,74,19
6016,City of God (Cidade de Deus) (2002),Action|Adventure|Crime|Drama|Thriller,611,0.8879,4.2643,0.9969,0.9424,0.9642,0.9206,56,37,105,68
1259,Stand by Me (1986),Adventure|Drama,1034,0.9539,4.0348,0.9309,0.9424,0.9378,0.947,57,71,60,14
2692,Run Lola Run (Lola rennt) (1998),Action|Crime,822,0.9325,4.0791,0.952,0.9422,0.9461,0.9384,58,60,70,12
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,2442,0.9965,3.9519,0.8876,0.9421,0.9203,0.9639,59,96,39,57
903,Vertigo (1958),Drama|Mystery|Romance|Thriller,713,0.9137,4.1297,0.9683,0.941,0.9519,0.9301,60,55,88,33
4011,Snatch (2000),Comedy|Crime|Thriller,858,0.9363,4.0629,0.9448,0.9405,0.9422,0.9388,61,64,68,7
1200,Aliens (1986),Action|Adventure|Horror|Sci-Fi,1380,0.9761,3.9844,0.9043,0.9402,0.9258,0.9546,62,87,48,39
79132,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,657,0.9008,4.1568,0.979,0.9399,0.9555,0.9243,63,49,96,47
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi,2572,0.9978,3.9473,0.8804,0.9391,0.9156,0.9626,64,100,40,60
913,"Maltese Falcon, The (1941)",Film-Noir|Mystery,636,0.8961,4.1737,0.9818,0.939,0.9561,0.9218,65,47,101,54
1206,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller,1241,0.9711,3.9827,0.903,0.9371,0.9234,0.9507,66,89,54,35
1258,"Shining, The (1980)",Horror,1173,0.9645,3.9923,0.909,0.9368,0.9256,0.9479,67,88,59,29
4878,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller,908,0.9416,4.0308,0.9288,0.9352,0.9326,0.9378,68,80,71,12
1304,Butch Cassidy and the Sundance Kid (1969),Action|Western,815,0.9316,4.0515,0.9382,0.9349,0.9362,0.9336,69,72,79,10
1204,Lawrence of Arabia (1962),Adventure|Drama|War,645,0.897,4.1372,0.9721,0.9346,0.9496,0.9196,70,58,107,49
745,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy,599,0.8839,4.1694,0.9815,0.9327,0.9522,0.9132,71,54,120,66
2019,Seven Samurai (Shichinin no samurai) (1954),Action|Adventure|Drama,564,0.8723,4.2145,0.9909,0.9316,0.9553,0.9078,72,50,127,77
3949,Requiem for a Dream (2000),Drama,706,0.9127,4.0701,0.9488,0.9308,0.938,0.9236,73,70,98,28
1233,"Boot, Das (Boat, The) (1981)",Action|Drama|War,654,0.8992,4.1009,0.9601,0.9297,0.9419,0.9175,74,68,112,44
1250,"Bridge on the River Kwai, The (1957)",Adventure|Drama|War,649,0.898,4.1032,0.9611,0.9295,0.9422,0.9169,75,65,114,49
1036,Die Hard (1988),Action|Crime|Thriller,1570,0.9821,3.9408,0.8745,0.9283,0.9067,0.9498,76,111,55,56
1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi,2085,0.9918,3.9211,0.8622,0.927,0.9011,0.953,77,123,49,74
953,It's a Wonderful Life (1946),Drama|Fantasy|Romance,701,0.9102,4.0592,0.9432,0.9267,0.9333,0.9201,78,79,106,28
48516,"Departed, The (2006)",Crime|Drama|Thriller,677,0.9058,4.0635,0.9454,0.9256,0.9335,0.9177,79,77,111,34
3147,"Green Mile, The (1999)",Crime|Drama,1021,0.952,3.9721,0.8986,0.9253,0.9146,0.936,80,102,77,25
1288,This Is Spinal Tap (1984),Comedy,826,0.9331,4.0067,0.9171,0.9251,0.9219,0.9283,81,94,90,13
1080,Monty Python's Life of Brian (1979),Comedy,1048,0.9551,3.9647,0.8949,0.925,0.9129,0.937,82,104,73,31
3578,Gladiator (2000),Action|Adventure|Drama,1659,0.9862,3.9225,0.8625,0.9244,0.8996,0.9491,83,129,57,72
924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi,1260,0.9721,3.9433,0.8757,0.9239,0.9046,0.9432,84,116,63,53
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,2205,0.994,3.9048,0.8534,0.9237,0.8956,0.9519,85,136,52,84
1262,"Great Escape, The (1963)",Action|Adventure|Drama|War,565,0.8726,4.1442,0.9743,0.9234,0.9438,0.9031,86,63,134,71
1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller,1702,0.9868,3.9127,0.8584,0.9226,0.897,0.9483,87,132,58,74
33794,Batman Begins (2005),Action|Crime|IMAX,942,0.9438,3.9777,0.9011,0.9225,0.9139,0.931,88,103,85,18
2542,"Lock, Stock & Two Smoking Barrels (1998)",Comedy|Crime|Thriller,769,0.9228,4.0078,0.9178,0.9203,0.9193,0.9213,89,98,103,14
2502,Office Space (1999),Comedy|Crime,1014,0.9507,3.9546,0.8898,0.9203,0.9081,0.9325,89,109,83,26
919,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,1172,0.9642,3.9433,0.876,0.9201,0.9025,0.9378,90,120,71,49
60069,WALL·E (2008),Adventure|Animation|Children|Romance|Sci-Fi,623,0.892,4.0682,0.9479,0.92,0.9311,0.9088,91,82,124,42
2918,Ferris Bueller's Day Off (1986),Comedy,1163,0.9626,3.9437,0.8766,0.9196,0.9024,0.9368,92,121,76,45
1732,"Big Lebowski, The (1998)",Comedy|Crime,1052,0.9557,3.9472,0.8801,0.9179,0.9028,0.9331,93,119,81,38
910,Some Like It Hot (1959),Comedy|Crime,567,0.8738,4.0979,0.9592,0.9165,0.9336,0.8994,94,76,140,64
969,"African Queen, The (1951)",Adventure|Comedy|Romance|War,538,0.866,4.119,0.9655,0.9157,0.9356,0.8958,95,74,147,73
1276,Cool Hand Luke (1967),Drama,587,0.8807,4.0716,0.9501,0.9154,0.9293,0.9015,96,84,137,53
1199,Brazil (1985),Fantasy|Sci-Fi,715,0.9143,4.0028,0.9156,0.9149,0.9152,0.9147,97,101,117,20
2804,"Christmas Story, A (1983)",Children|Comedy,651,0.8983,4.0361,0.9313,0.9148,0.9214,0.9082,98,95,126,31
1267,"Manchurian Candidate, The (1962)",Crime|Thriller|War,473,0.844,4.1808,0.984,0.914,0.942,0.886,99,66,163,97
17,Sense and Sensibility (1995),Drama|Romance,1049,0.9554,3.9371,0.8726,0.914,0.8974,0.9306,99,131,86,45
2997,Being John Malkovich (1999),Comedy|Drama|Fantasy,1355,0.9752,3.9018,0.8503,0.9127,0.8878,0.9377,100,151,72,79
5418,"Bourne Identity, The (2002)",Action|Mystery|Thriller,1029,0.9532,3.9363,0.8716,0.9124,0.8961,0.9288,101,135,89,46
1266,Unforgiven (1992),Drama|Western,729,0.9165,3.9883,0.9071,0.9118,0.9099,0.9137,102,106,119,17
1278,Young Frankenstein (1974),Comedy|Fantasy,775,0.9244,3.9716,0.8983,0.9113,0.9061,0.9165,103,112,115,12
36,Dead Man Walking (1995),Crime|Drama,1027,0.9529,3.9279,0.8663,0.9096,0.8923,0.9269,104,142,92,50
4995,"Beautiful Mind, A (2001)",Drama|Romance,1127,0.9614,3.9099,0.8575,0.9094,0.8887,0.9302,105,150,87,63
899,Singin' in the Rain (1952),Comedy|Musical|Romance,516,0.8616,4.0891,0.9561,0.9088,0.9277,0.8899,106,85,158,73
150,Apollo 13 (1995),Adventure|Drama|IMAX,2398,0.9959,3.8647,0.8189,0.9074,0.872,0.9428,107,191,65,126
48394,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Drama|Fantasy|Thriller,567,0.8738,4.0538,0.9394,0.9066,0.9197,0.8935,108,97,151,54
6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy,1249,0.9718,3.8867,0.8409,0.9063,0.8801,0.9325,109,170,82,88
246,Hoop Dreams (1994),Documentary,507,0.8584,4.071,0.9498,0.9041,0.9224,0.8858,110,93,165,72
6874,Kill Bill: Vol. 1 (2003),Action|Crime|Thriller,1107,0.9592,3.8984,0.849,0.9041,0.8821,0.9261,110,166,94,72
8961,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy,1014,0.9507,3.9098,0.8572,0.904,0.8852,0.9227,111,157,100,57
1265,Groundhog Day (1993),Comedy|Fantasy|Romance,1607,0.9831,3.8687,0.8211,0.9021,0.8697,0.9345,112,196,78,118
1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989),Drama,485,0.8481,4.0845,0.9551,0.9016,0.923,0.8802,113,92,171,79
3000,Princess Mononoke (Mononoke-hime) (1997),Action|Adventure|Animation|Drama|Fantasy,438,0.8299,4.1404,0.9727,0.9013,0.9298,0.8727,114,83,189,106
5060,M*A*S*H (a.k.a. MASH) (1970),Comedy|Drama|War,655,0.8999,3.9771,0.9008,0.9003,0.9005,0.9002,115,126,139,24
1242,Glory (1989),Drama|War,616,0.8889,3.9968,0.9109,0.8999,0.9043,0.8955,116,117,149,33
1246,Dead Poets Society (1989),Drama,1031,0.9535,3.8938,0.8453,0.8994,0.8777,0.9211,117,176,104,72
5995,"Pianist, The (2002)",Drama|War,499,0.8528,4.0591,0.9429,0.8978,0.9159,0.8798,118,99,172,73
3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Action|Drama|Romance,1227,0.9696,3.8749,0.8261,0.8978,0.8691,0.9265,118,199,93,106
4027,"O Brother, Where Art Thou? (2000)",Adventure|Comedy|Crime,1001,0.9495,3.8891,0.8437,0.8966,0.8754,0.9177,119,182,110,72
1961,Rain Man (1988),Drama,1209,0.9689,3.8693,0.8223,0.8956,0.8663,0.925,120,204,95,109
1358,Sling Blade (1996),Drama,657,0.9008,3.9551,0.8901,0.8955,0.8933,0.8976,121,141,143,22
223,Clerks (1994),Comedy,1191,0.9664,3.8715,0.8242,0.8953,0.8669,0.9238,122,203,97,106
48780,"Prestige, The (2006)",Drama|Mystery|Sci-Fi|Thriller,546,0.8672,4.0165,0.9225,0.8949,0.9059,0.8838,123,113,168,55
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,620,0.8905,3.9742,0.8992,0.8949,0.8966,0.8931,123,133,152,29
1090,Platoon (1986),Drama|War,784,0.9253,3.9171,0.8613,0.8933,0.8805,0.9061,124,169,130,45
1079,"Fish Called Wanda, A (1988)",Comedy|Crime,992,0.9482,3.8836,0.8374,0.8928,0.8707,0.915,125,193,116,77
44191,V for Vendetta (2006),Action|Sci-Fi|Thriller|IMAX,697,0.909,3.9376,0.8732,0.8911,0.8839,0.8982,126,161,141,35
4886,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy,1198,0.968,3.8589,0.8136,0.8908,0.8599,0.9217,127,218,102,116
6377,Finding Nemo (2003),Adventure|Animation|Children|Comedy,1167,0.9636,3.8603,0.8154,0.8895,0.8599,0.9191,128,219,108,111
54286,"Bourne Ultimatum, The (2007)",Action|Crime|Thriller,529,0.8638,3.9896,0.9074,0.8856,0.8943,0.8769,129,139,179,50
1244,Manhattan (1979),Comedy|Drama|Romance,418,0.8183,4.0778,0.9513,0.8848,0.9114,0.8582,130,105,217,112
7438,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller,954,0.9448,3.8716,0.8245,0.8847,0.8606,0.9087,131,216,125,91
68954,Up (2009),Adventure|Animation|Children|Drama,475,0.8449,4.0179,0.9237,0.8843,0.9001,0.8686,132,127,196,69
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance,353,0.775,4.2252,0.9928,0.8839,0.9274,0.8403,133,86,255,169
3897,Almost Famous (2000),Drama,915,0.9426,3.8727,0.8252,0.8839,0.8604,0.9073,134,217,129,88
2396,Shakespeare in Love (1998),Comedy|Drama|Romance,1247,0.9714,3.84,0.796,0.8837,0.8486,0.9188,135,245,109,136
4306,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance,1614,0.9837,3.8259,0.7831,0.8834,0.8433,0.9235,136,253,99,154
59315,Iron Man (2008),Action|Adventure|Sci-Fi,567,0.8738,3.9568,0.8923,0.8831,0.8868,0.8794,137,153,173,36
1682,"Truman Show, The (1998)",Comedy|Drama|Sci-Fi,1207,0.9686,3.8409,0.7969,0.8828,0.8484,0.9171,138,246,113,133
1228,Raging Bull (1980),Drama,469,0.8431,4.0149,0.9218,0.8825,0.8982,0.8667,139,130,199,69
5989,Catch Me If You Can (2002),Crime|Drama,903,0.941,3.871,0.8239,0.8825,0.859,0.9059,139,225,131,94
898,"Philadelphia Story, The (1940)",Comedy|Drama|Romance,354,0.7753,4.1935,0.9865,0.8809,0.9231,0.8386,140,91,264,173
3114,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy,1120,0.9605,3.8429,0.8001,0.8803,0.8482,0.9123,141,247,122,125
1263,"Deer Hunter, The (1978)",Drama|War,529,0.8638,3.966,0.8964,0.8801,0.8866,0.8736,142,154,187,45
1212,"Third Man, The (1949)",Film-Noir|Mystery|Thriller,350,0.7718,4.1971,0.9881,0.8799,0.9232,0.8367,143,90,272,182
1610,"Hunt for Red October, The (1990)",Action|Adventure|Thriller,1088,0.9567,3.8433,0.8013,0.879,0.8479,0.9101,144,248,123,125
2194,"Untouchables, The (1987)",Action|Crime|Drama,757,0.9209,3.8831,0.8362,0.8785,0.8616,0.8955,145,213,149,68
475,In the Name of the Father (1993),Drama,476,0.8456,3.9968,0.9112,0.8784,0.8915,0.8653,146,143,201,58
6,Heat (1995),Action|Crime|Thriller,1196,0.9674,3.8307,0.7863,0.8768,0.8406,0.913,147,260,121,139
720,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy,418,0.8183,4.0443,0.935,0.8766,0.9,0.8533,148,128,224,96
555,True Romance (1993),Crime|Thriller,780,0.925,3.8763,0.828,0.8765,0.8571,0.8959,149,230,146,84
32587,Sin City (2005),Action|Crime|Film-Noir|Mystery|Thriller,813,0.9309,3.8665,0.8202,0.8755,0.8534,0.8977,150,235,142,93
34405,Serenity (2005),Action|Adventure|Sci-Fi,403,0.806,4.0571,0.9413,0.8737,0.9007,0.8466,151,125,237,112
46578,Little Miss Sunshine (2006),Adventure|Comedy|Drama,591,0.882,3.9247,0.8644,0.8732,0.8697,0.8767,152,196,180,44
1293,Gandhi (1982),Drama,490,0.8497,3.9653,0.8958,0.8727,0.882,0.8635,153,168,204,51
497,Much Ado About Nothing (1993),Comedy|Romance,735,0.9175,3.8762,0.8277,0.8726,0.8546,0.8905,154,233,156,79
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,431,0.8252,4.0081,0.9187,0.8719,0.8906,0.8532,155,145,225,80
4262,Scarface (1983),Action|Crime|Drama,523,0.8632,3.9455,0.8788,0.871,0.8741,0.8679,156,187,197,41
1223,"Grand Day Out with Wallace and Gromit, A (1989)",Adventure|Animation|Children|Comedy|Sci-Fi,364,0.7834,4.0907,0.9573,0.8704,0.9051,0.8356,157,114,276,162
4963,Ocean's Eleven (2001),Crime|Thriller,1196,0.9674,3.8085,0.769,0.8682,0.8285,0.9078,158,289,128,161
1307,When Harry Met Sally... (1989),Comedy|Romance,1102,0.9586,3.8181,0.7772,0.8679,0.8316,0.9041,159,279,133,146
16,Casino (1995),Crime|Drama,912,0.9419,3.8383,0.7932,0.8675,0.8378,0.8973,160,266,144,122
1968,"Breakfast Club, The (1985)",Comedy|Drama,1060,0.9561,3.8179,0.7765,0.8663,0.8304,0.9022,161,282,136,146
55820,No Country for Old Men (2007),Crime|Drama,486,0.8484,3.9496,0.8832,0.8658,0.8728,0.8589,162,190,215,53
3160,Magnolia (1999),Drama,591,0.882,3.8985,0.8493,0.8657,0.8591,0.8722,163,224,192,61
3275,"Boondock Saints, The (2000)",Action|Crime|Drama|Thriller,406,0.8104,4.0123,0.9203,0.8653,0.8873,0.8434,164,152,249,97
3481,High Fidelity (2000),Comedy|Drama|Romance,801,0.9278,3.8452,0.8029,0.8653,0.8404,0.8903,164,262,157,105
1299,"Killing Fields, The (1984)",Drama|War,382,0.7935,4.0471,0.9363,0.8649,0.8934,0.8363,165,140,273,133
1269,Arsenic and Old Lace (1944),Comedy|Mystery|Thriller,389,0.7982,4.0334,0.9303,0.8642,0.8907,0.8378,166,144,267,123
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,1919,0.99,3.7759,0.7382,0.8641,0.8137,0.9144,167,338,118,220
1272,Patton (1970),Drama|War,413,0.8154,3.9976,0.9121,0.8638,0.8831,0.8444,168,164,244,80
920,Gone with the Wind (1939),Drama|Romance|War,723,0.9156,3.8541,0.8104,0.863,0.842,0.884,169,257,167,90
30749,Hotel Rwanda (2004),Drama|War,403,0.806,4.0099,0.9196,0.8628,0.8856,0.8401,170,156,256,100
3671,Blazing Saddles (1974),Comedy|Western,549,0.8682,3.9089,0.8559,0.8621,0.8596,0.8645,171,222,202,51
1625,"Game, The (1997)",Drama|Mystery|Thriller,771,0.9237,3.8431,0.8004,0.8621,0.8374,0.8867,171,268,161,107
515,"Remains of the Day, The (1993)",Drama|Romance,501,0.8537,3.9281,0.8666,0.8602,0.8627,0.8576,172,210,219,47
800,Lone Star (1996),Drama|Mystery|Western,366,0.7841,4.0464,0.936,0.86,0.8904,0.8296,173,146,287,141
5902,Adaptation (2002),Comedy|Drama|Romance,492,0.8503,3.9329,0.8694,0.8599,0.8637,0.856,174,208,223,49
3006,"Insider, The (1999)",Drama|Thriller,424,0.8223,3.967,0.897,0.8597,0.8746,0.8448,175,185,242,67
68157,Inglourious Basterds (2009),Action|Drama|War,457,0.8377,3.9486,0.8814,0.8595,0.8683,0.8508,176,201,227,51
63082,Slumdog Millionaire (2008),Crime|Drama|Romance,443,0.8324,3.9503,0.8864,0.8594,0.8702,0.8486,177,194,233,56
2289,"Player, The (1992)",Comedy|Crime|Drama,403,0.806,3.9938,0.9099,0.858,0.8788,0.8372,178,172,270,98
1284,"Big Sleep, The (1946)",Crime|Film-Noir|Mystery,309,0.7433,4.1392,0.9724,0.8578,0.9036,0.812,179,118,346,228
68358,Star Trek (2009),Action|Adventure|Sci-Fi|IMAX,378,0.7919,4.0172,0.9234,0.8577,0.884,0.8314,180,160,280,120
1220,"Blues Brothers, The (1980)",Action|Comedy|Musical,967,0.9457,3.8108,0.7696,0.8577,0.8224,0.8929,180,314,153,161
49272,Casino Royale (2006),Action|Adventure|Thriller,640,0.8967,3.8617,0.8164,0.8566,0.8405,0.8726,181,261,190,80
1945,On the Waterfront (1954),Crime|Drama,286,0.7235,4.2063,0.9893,0.8564,0.9096,0.8032,182,107,373,266
44555,"Lives of Others, The (Das leben der Anderen) (2006)",Drama|Romance|Thriller,288,0.7257,4.1962,0.9871,0.8564,0.9087,0.8041,182,108,369,261
1235,Harold and Maude (1971),Comedy|Drama|Romance,406,0.8104,3.9815,0.9024,0.8564,0.8748,0.838,182,184,266,84
