movieId,title,genres,rating_count,avg_rating,quality_percent_rank,visibility_percent_rank,quality_visibility_gap
4424,"Garden of the Finzi-Continis, The (Giardino dei Finzi-Contini, Il) (1970)",Drama,65,3.9077,0.8544,0.1478,0.7065
3801,Anatomy of a Murder (1959),Drama|Mystery,72,3.9653,0.8955,0.1955,0.6999
4914,Breathless (À bout de souffle) (1960),Crime|Drama|Romance,79,4.0633,0.9451,0.2495,0.6955
7669,Pride and Prejudice (1995),Drama|Romance,76,4.0132,0.9209,0.2272,0.6937
2936,Sullivan's Travels (1941),Adventure|Comedy|Romance,78,4.0385,0.9325,0.2423,0.6902
3200,"Last Detail, The (1973)",Comedy|Drama,67,3.903,0.8515,0.1626,0.689
77455,Exit Through the Gift Shop (2010),Comedy|Documentary,78,4.0192,0.9253,0.2423,0.683
5147,Wild Strawberries (Smultronstället) (1957),Drama,82,4.0671,0.9473,0.2649,0.6824
3814,Love and Death (1975),Comedy,73,3.9452,0.8782,0.2034,0.6748
6291,Lilya 4-Ever (Lilja 4-ever) (2002),Crime|Drama,74,3.9459,0.8792,0.2122,0.667
4427,"Lion in Winter, The (1968)",Drama,92,4.1685,0.9812,0.3176,0.6635
3742,Battleship Potemkin (1925),Drama|War,81,4.0185,0.924,0.2611,0.6629
3819,Tampopo (1985),Comedy,95,4.2053,0.989,0.3311,0.6579
3741,Badlands (1973),Crime|Drama|Thriller,93,4.1452,0.9746,0.322,0.6525
54881,"King of Kong, The (2007)",Documentary,78,3.9615,0.8939,0.2423,0.6516
109487,Interstellar (2014),Sci-Fi|IMAX,81,4.0,0.9124,0.2611,0.6513
549,Thirty-Two Short Films About Glenn Gould (1993),Drama|Musical,83,4.006,0.9168,0.2706,0.6463
5008,Witness for the Prosecution (1957),Drama|Mystery|Thriller,82,3.9878,0.9068,0.2649,0.6419
3548,Auntie Mame (1958),Comedy|Drama,77,3.9416,0.8748,0.2338,0.6409
936,Ninotchka (1939),Comedy|Romance,78,3.9487,0.8817,0.2423,0.6394
3467,Hud (1963),Drama|Western,75,3.9133,0.8588,0.2197,0.639
4967,No Man's Land (2001),Drama|War,97,4.1495,0.9768,0.3409,0.6359
7132,"Night at the Opera, A (1935)",Comedy|Musical|Romance,84,4.0,0.9124,0.2768,0.6356
55908,"Man from Earth, The (2007)",Drama|Sci-Fi,83,3.9759,0.9005,0.2706,0.6299
1939,"Best Years of Our Lives, The (1946)",Drama|War,85,4.0,0.9124,0.2831,0.6293
334,Vanya on 42nd Street (1994),Drama,80,3.95,0.8845,0.2558,0.6287
3811,Breaker Morant (1980),Drama|War,86,4.0,0.9124,0.2869,0.6255
3469,Inherit the Wind (1960),Drama,89,4.0169,0.9228,0.3007,0.6221
1649,"Fast, Cheap & Out of Control (1997)",Documentary,78,3.9231,0.8628,0.2423,0.6205
1216,"Big Blue, The (Grand bleu, Le) (1988)",Adventure|Drama|Romance,85,3.9824,0.9027,0.2831,0.6196
6380,Capturing the Friedmans (2003),Documentary,91,4.033,0.9297,0.3136,0.6161
3097,"Shop Around the Corner, The (1940)",Comedy|Drama|Romance,91,4.0275,0.9278,0.3136,0.6142
8207,"Day of the Jackal, The (1973)",Crime|Thriller,82,3.9451,0.8779,0.2649,0.613
3134,Grand Illusion (La grande illusion) (1937),Drama|War,85,3.9647,0.8952,0.2831,0.6121
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,89,4.0,0.9124,0.3007,0.6117
947,My Man Godfrey (1936),Comedy|Romance,95,4.0579,0.9416,0.3311,0.6105
97,"Hate (Haine, La) (1995)",Crime|Drama,91,4.0,0.9124,0.3136,0.5989
7981,Infernal Affairs (Mou gaan dou) (2002),Crime|Drama|Thriller,90,3.9778,0.9014,0.3076,0.5938
97921,Silver Linings Playbook (2012),Comedy|Drama,89,3.9607,0.8936,0.3007,0.5929
89864,50/50 (2011),Comedy|Drama,82,3.9085,0.8556,0.2649,0.5907
2924,Drunken Master (Jui kuen) (1978),Action|Comedy,87,3.9483,0.8807,0.2928,0.5879
2726,"Killing, The (1956)",Crime|Film-Noir,98,4.0306,0.9284,0.3456,0.5829
2732,Jules and Jim (Jules et Jim) (1961),Drama|Romance,98,4.0204,0.9256,0.3456,0.58
59387,"Fall, The (2006)",Adventure|Drama|Fantasy,97,3.9948,0.9102,0.3409,0.5694
1150,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",Drama,98,3.9898,0.9077,0.3456,0.5621
2644,Dracula (1931),Horror,89,3.9157,0.8606,0.3007,0.5599
