movieId,genre,title,rating_count,avg_rating,row_number_position,rank_position,dense_rank_position
6016,Crime,City of God (Cidade de Deus) (2002),611,4.2643,5,5,5
246,Documentary,Hoop Dreams (1994),507,4.071,1,1,1
5669,Documentary,Bowling for Columbine (2002),625,3.7696,2,2,2
8464,Documentary,Super Size Me (2004),425,3.6812,3,3,3
8622,Documentary,Fahrenheit 9/11 (2004),432,3.5509,4,4,4
318,Drama,"Shawshank Redemption, The (1994)",3061,4.4699,1,1,1
858,Drama,"Godfather, The (1972)",2026,4.3882,2,2,2
527,Drama,Schindler's List (1993),2475,4.2941,3,3,3
1221,Drama,"Godfather: Part II, The (1974)",1347,4.2795,4,4,4
912,Drama,Casablanca (1942),1217,4.2675,5,5,5
5618,Fantasy,Spirited Away (Sen to Chihiro no kamikakushi) (2001),671,4.2332,1,1,1
1136,Fantasy,Monty Python and the Holy Grail (1975),1638,4.1795,2,2,2
1197,Fantasy,"Princess Bride, The (1987)",1634,4.1781,3,3,3
3000,Fantasy,Princess Mononoke (Mononoke-hime) (1997),438,4.1404,4,4,4
4993,Fantasy,"Lord of the Rings: The Fellowship of the Ring, The (2001)",1891,4.1341,5,5,5
1252,Film-Noir,Chinatown (1974),772,4.1846,1,1,1
913,Film-Noir,"Maltese Falcon, The (1941)",636,4.1737,2,2,2
1617,Film-Noir,L.A. Confidential (1997),1332,4.0796,3,3,3
32587,Film-Noir,Sin City (2005),813,3.8665,4,4,4
4848,Film-Noir,Mulholland Drive (2001),481,3.7869,5,5,5
593,Horror,"Silence of the Lambs, The (1991)",3080,4.1797,1,1,1
1219,Horror,Psycho (1960),987,4.113,2,2,2
2762,Horror,"Sixth Sense, The (1999)",1941,4.0479,3,3,3
1214,Horror,Alien (1979),1554,4.0042,4,4,4
1258,Horror,"Shining, The (1980)",1173,3.9923,5,5,5
58559,IMAX,"Dark Knight, The (2008)",983,4.2482,1,1,1
79132,IMAX,Inception (2010),657,4.1568,2,2,2
33794,IMAX,Batman Begins (2005),942,3.9777,3,3,3
44191,IMAX,V for Vendetta (2006),697,3.9376,4,4,4
150,IMAX,Apollo 13 (1995),2398,3.8647,5,5,5
899,Musical,Singin' in the Rain (1952),516,4.0891,1,1,1
919,Musical,"Wizard of Oz, The (1939)",1172,3.9433,2,2,2
914,Musical,My Fair Lady (1964),504,3.8413,3,3,3
1220,Musical,"Blues Brothers, The (1980)",967,3.8108,4,4,4
1035,Musical,"Sound of Music, The (1965)",690,3.8,5,5,5
50,Mystery,"Usual Suspects, The (1995)",2357,4.3717,1,1,1
908,Mystery,North by Northwest (1959),786,4.2532,2,2,2
904,Mystery,Rear Window (1954),885,4.2458,3,3,3
1252,Mystery,Chinatown (1974),772,4.1846,4,4,4
4226,Mystery,Memento (2000),1516,4.1837,5,5,5
912,Romance,Casablanca (1942),1217,4.2675,1,1,1
908,Romance,North by Northwest (1959),786,4.2532,2,2,2
4973,Romance,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",1190,4.2168,3,3,3
1197,Romance,"Princess Bride, The (1987)",1634,4.1781,4,4,4
2324,Romance,Life Is Beautiful (La Vita è bella) (1997),927,4.1753,5,5,5
260,Sci-Fi,Star Wars: Episode IV - A New Hope (1977),2729,4.1867,1,1,1
2571,Sci-Fi,"Matrix, The (1999)",2567,4.1776,2,2,2
1196,Sci-Fi,Star Wars: Episode V - The Empire Strikes Back (1980),2296,4.1592,3,3,3
541,Sci-Fi,Blade Runner (1982),1527,4.1582,4,4,4
79132,Sci-Fi,Inception (2010),657,4.1568,5,5,5
50,Thriller,"Usual Suspects, The (1995)",2357,4.3717,1,1,1
6016,Thriller,City of God (Cidade de Deus) (2002),611,4.2643,2,2,2
908,Thriller,North by Northwest (1959),786,4.2532,3,3,3
904,Thriller,Rear Window (1954),885,4.2458,4,4,4
2959,Thriller,Fight Club (1999),1974,4.2201,5,5,5
527,War,Schindler's List (1993),2475,4.2941,1,1,1
750,War,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),1195,4.2268,2,2,2
1267,War,"Manchurian Candidate, The (1962)",473,4.1808,3,3,3
2324,War,Life Is Beautiful (La Vita è bella) (1997),927,4.1753,4,4,4
1262,War,"Great Escape, The (1963)",565,4.1442,5,5,5
1201,Western,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",721,4.1456,1,1,1
1304,Western,Butch Cassidy and the Sundance Kid (1969),815,4.0515,2,2,2
1266,Western,Unforgiven (1992),729,3.9883,3,3,3
3671,Western,Blazing Saddles (1974),549,3.9089,4,4,4
590,Western,Dances with Wolves (1990),2177,3.717,5,5,5
